Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,UndergradPopulation,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry
Abilene Christian University,3,4,Private,Southwest,Mid-size City,0.4894,24,1087,3647,0.7069,0.076,0.1206,0.0099,0.0036,0.0005,0.0373,0.0417,0.0398,39811,8737,5508,0.9204,0.2347,0.5637,0.7941,0.0381,7.5,20698.5,26237.5,9500,0.970000029,0.439999998,20.22999954,86392,75873.5,7.800000191,130,1327,39800,37200
Adams State University,3,4,Public,Rocky Mountains,Remote Town,0.526,20,939,2227,0.5123,0.0768,0.3026,0.0112,0.0153,0.0063,0.04,0,0.1612,17759,7996,5986,0.5088,0.5029,0.227,0.5592,0.2106,9.3,11000,0,11000,0.829999983,0.730000019,24.12999916,45711.23,34243,11.84000015,99,752,33600,30700
Adelphi University,3,4,Private,Mid-Atlantic,Large Suburb,0.6814,22,1098,5000,0.5296,0.1062,0.1336,0.0756,0.0016,0.002,0.022,0.0396,0.0952,41559,12142,11315,0.3203,0.2951,0.6251,0.8112,0.1562,3.7,21325,25000,13000,0.949999988,0.449999988,23.12999916,74831.68,54115,7.46999979,152,1524,52200,49400
Adrian College,3,3,Private,Great Lakes,Distant Town,0.5628,22,1007,1616,0.7605,0.1002,0.0217,0.0056,0.0037,0.0006,0.0384,0.0006,0.021,40199,7091,7453,0.4767,0.4368,0.5445,0.5811,0.023,7.7,14250,27000,7655,0.99000001,0.479999989,19.62999916,77959.35,71008.5,5.710000038,34,393,35000,33800
Adventist University of Health Sciences,3,4,Private,Southeast,Mid-size City,0.1336,19,884,2064,0.4748,0.1434,0.2016,0.0562,0.0039,0.0044,0.0199,0.0048,0.7108,21358,8382,6539,0.988,0.3595,0.3953,0.7143,0.6056,5.4,15236,20730,9788,0.899999976,0.5,28.70999908,58585.71,49657.5,8.300000191,49,587,52400,51800
AIB College of Business,3,3,Private,Great Plains,Mid-size City,0.6887,0,0,1007,0.6306,0.0497,0.0586,0.0189,0.006,0.003,0.0218,0.0278,0.2741,22469,3208,4706,1,0.3635,0.6054,0,0.3209,7.9,13125,20500,7125,0.949999988,0.519999981,22.76000023,56250.95,53783,5.639999866,47,585,34900,34200
Alabama A & M University,3,4,Public,Southeast,Mid-size City,0.8989,17,823,4051,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,0,0.0002,0.0622,18888,7459,7079,0.8856,0.7115,0.2914,0.6314,0.1049,16.3,19500,33611.5,14250,0.930000007,0.810000002,20.62999916,40211.22,29039,14.88000011,221,1491,30300,27000
Alabama State University,3,4,Public,Southeast,Mid-size City,0.5125,17,830,5354,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,0.0064,0.0207,0.0902,17400,7393,6557,0.6641,0.8265,0.2517,0.6219,0.127,19.1,15854.5,33452,12500,0.939999998,0.850000024,20.88999939,31846.99,24029.5,16.95999908,274,1732,26400,22400
Albany College of Pharmacy and Health Sciences,3,4,Private,Mid-Atlantic,Small City,0.634,27,1195,1075,0.6633,0.0381,0.0484,0.1284,0.0028,0.0019,0.0084,0.0586,0.0167,40718,11879,8530,0.7703,0.2215,0.7235,0.8097,0.1039,1,24930.5,25000,15000,0.99000001,0.280000001,21.05999947,87171.28,80225,7.650000095,9,403,110300,125600
Albany State University,3,4,Public,Southeast,Small City,0.1992,19,887,3566,0.0443,0.91,0.0095,0.0017,0.0014,0.0003,0.002,0.0025,0.1551,19025,7089,5607,0.8679,0.7229,0.4249,0.697,0.2396,18,24500,31750,17250,0.910000026,0.810000002,22.45999908,40236.45,29794,14.09000015,106,783,30700,27900
Albertus Magnus College,3,4,Private,New England,Mid-size City,0.6821,0,830,1278,0.4476,0.277,0.1354,0.0141,0.0023,0,0.0141,0.0016,0.0618,41520,5204,7601,0.3494,0.5811,0.6063,0.9256,0.5133,7,26313,29000,19392,0.980000019,0.469999999,29.63999939,61019.77,50062.5,9.180000305,67,740,52700,48900
Albion College,3,3,Private,Great Lakes,Fringe Town,0.5639,25,1143,1284,0.8178,0.0343,0.0335,0.0156,0.0031,0.0008,0.0288,0.0304,0.0125,45690,11574,6969,0.7857,0.2366,0.736,0.8056,0.013,5.3,22500,27000,12000,0.970000029,0.379999995,19.20999908,95788.54,85027.5,5.510000229,28,448,46500,40800
Albright College,3,4,Private,Mid-Atlantic,Small City,0.6231,23,1033,2333,0.6215,0.1582,0.0883,0.0257,0.006,0.0004,0.0146,0.0309,0.0077,46170,9620,6340,0.4897,0.4075,0.5371,0.7146,0.2452,6.7,24562.5,28910,12500,0.980000019,0.400000006,23.62999916,75540.42,66577.5,6.139999866,55,874,44900,41700
Alcorn State University,3,4,Public,Southeast,Remote Rural,0.8291,18,851,3157,0.0326,0.9328,0.006,0.0016,0.0003,0.0025,0.0114,0.0127,0.1346,20330,7261,6431,0.7768,0.7918,0.3463,0.6838,0.254,15.8,19696.5,27940.5,17485,0.920000017,0.879999995,22.82999992,30021.21,21250,22.07999992,110,780,29600,26200
Alderson Broaddus University,3,4,Private,Southeast,Distant Town,0.4321,22,989,1032,0.7403,0.1609,0.0397,0.0116,0.0068,0,0.0107,0.03,0.0388,33057,7403,4924,1,0.4818,0.4575,0.5761,0.0722,9.9,9500,29000,5500,0.980000019,0.660000026,21.69000053,55945.87,48013,13.40999985,36,248,45100,43500
Alfred University,3,4,Private,Mid-Atlantic,Remote Town,0.698,25,1106,1905,0.6751,0.0819,0.0688,0.0163,0.001,0,0.0262,0.0152,0.011,38830,10891,6408,0.8249,0.3804,0.6216,0.7463,0.0311,6.9,21500,27000,6500,0.99000001,0.460000008,19.87999916,78026.36,69334,7.409999847,66,712,39800,35400
Allegheny College,3,3,Private,Mid-Atlantic,Distant Town,0.6487,26,1182,2126,0.802,0.0437,0.0616,0.0254,0.0005,0,0.0405,0.0216,0.0042,50044,12490,8108,1,0.2621,0.7917,0.8545,0.0088,2.6,27000,28800,8750,0.980000019,0.349999994,19.40999985,95883.88,85933,6.050000191,46,535,46000,42200
Alma College,3,3,Private,Great Lakes,Distant Town,0.6791,25,1100,1385,0.8657,0.0217,0.0303,0.0166,0.0087,0,0.0245,0.0036,0.0101,43157,9213,7256,0.589,0.306,0.6118,0.7885,0.0113,7.8,21500,27000,11000,0.980000019,0.449999988,19.51000023,86192.91,74312,6.119999886,23,379,40800,38000
Alvernia University,3,4,Private,Mid-Atlantic,Small City,0.7762,20,976,2169,0.7045,0.1415,0.0742,0.0143,0.0005,0.0005,0.0161,0.0018,0.2084,39999,6251,6152,1,0.346,0.5132,0.7105,0.3235,6.9,22500,27000,11000,0.959999979,0.479999989,25.30999947,64848.34,53135,8.489999771,94,780,41200,40400
Alverno College,3,4,Private,Great Lakes,Large City,0.7887,20,950,1833,0.5428,0.1768,0.1811,0.0475,0.012,0.0016,0.0316,0.0065,0.2679,30496,7404,5550,0.4491,0.6102,0.3852,0.7173,0.3464,8.3,25500,33110,15250,0.970000029,0.670000017,24.29000092,52454.06,38705,10.02000046,77,678,36700,34500
American International College,3,4,Private,New England,Mid-size City,0.6779,19,885,1513,0.4382,0.2538,0.0826,0.0152,0.004,0.0073,0.0443,0.0093,0.0767,40803,4924,5700,0.1848,0.5027,0.4487,0.6482,0.2102,6,20726,27000,9500,0.970000029,0.550000012,22.63999939,60826.01,49259,10.44999981,58,602,40000,36100
American University,3,4,Private,Mid-Atlantic,Large City,0.4312,28,1258,6829,0.5671,0.064,0.1012,0.0638,0.0018,0.0004,0.0499,0.0688,0.0346,55159,12700,11074,0.5764,0.1565,0.7989,0.8821,0.0252,3.3,19500,23500,9250,0.980000019,0.310000002,20.04999924,105560.77,86431,5.340000153,153,1443,55900,51600
Amherst College,3,3,Private,New England,Large Suburb,0.1428,32,1434,1785,0.4174,0.1165,0.1283,0.1255,0.0011,0,0.056,0.0958,0,59060,23275,11690,0.9149,0.1998,0.9578,0.9762,0.0123,4.5,10453,11185.5,7500,0.839999974,0.409999996,19.32999992,107166.93,85922,6.96999979,23,190,71100,54000
Anderson University,3,4,Private,Great Lakes,Small City,0.5545,23,1053,1862,0.811,0.0575,0.0269,0.007,0.0032,0.0027,0.0043,0.0328,0.0725,37937,8062,6395,1,0.3358,0.5678,0.734,0.1215,4.3,23000,27999,12000,0.970000029,0.449999988,21.51000023,78026.29,72723,5.400000095,95,925,36800,33400
Anderson University,3,4,Private,Southeast,Small City,0.6502,24,1079,2381,0.8202,0.0962,0.0328,0.0101,0.0067,0.0004,0,0,0.105,35340,5009,6409,0.4195,0.3422,0.4138,0.734,0.1802,9.6,19500,27000,9624.5,0.939999998,0.560000002,22.20000076,68927.17,58707.5,8.300000191,57,541,35200,32600
Andrews University,3,4,Private,Great Lakes,Fringe Town,0.3751,23,1070,1765,0.2856,0.2232,0.1337,0.1258,0.0028,0.0028,0.03,0.1796,0.0867,33653,11640,4961,1,0.3155,0.6036,0.7859,0.116,7.6,23000,29500,15250,0.959999979,0.629999995,21.67000008,60803.03,53737,7.929999828,76,405,38900,33400
Angelo State University,3,4,Public,Southwest,Small City,0.8049,21,965,5430,0.5451,0.0818,0.305,0.0101,0.0048,0.0007,0.0227,0.0287,0.1348,19511,6830,6867,0.7851,0.4264,0.2975,0.5457,0.1407,13.4,11773,21594,8250,0.850000024,0.660000026,21.37999916,53847.09,43559,11.36999989,156,1853,37800,34500
Anna Maria College,3,4,Private,New England,Fringe Rural,0.7756,0,0,1135,0.7198,0.0784,0.067,0.0106,0.0035,0.0018,0.0211,0.0026,0.2555,42770,6758,3553,0.2604,0.3655,0.469,0.687,0.2948,10,18125,26000,9500,0.980000019,0.419999987,21.17000008,73629.92,67437,6.579999924,23,248,39400,36000
Appalachian State University,3,4,Public,Southeast,Distant Town,0.6323,26,1156,15840,0.8612,0.0306,0.0419,0.0136,0.0025,0.0007,0.0239,0.0076,0.0516,17780,7361,7657,0.724,0.259,0.6857,0.8718,0.0734,4.8,15635,19526,9500,0.930000007,0.460000008,20.68000031,78640.38,69100,6.860000134,262,2992,36100,33600
Aquinas College,3,4,Private,Great Lakes,Mid-size City,0.7135,24,1090,1843,0.8486,0.032,0.0521,0.0081,0.0049,0,0.0157,0.0071,0.1134,34593,6032,5972,0.3922,0.3356,0.5976,0.7583,0.1106,9.2,19474,25000,15000,0.949999988,0.5,21.71999931,76310.3,72085,6.289999962,54,462,35200,31200
Arcadia University,3,4,Private,Mid-Atlantic,Large Suburb,0.5969,25,1095,2400,0.7338,0.0846,0.0558,0.0463,0.0025,0.0017,0.0354,0.0204,0.0588,48907,8548,7962,0.3214,0.337,0.605,0.854,0.0775,4.9,22000,27000,10875,0.970000029,0.400000006,20.35000038,83924.41,76319,5.78000021,81,751,41100,38100
Arizona State University-Downtown Phoenix,3,4,Public,Southwest,Large City,0.757,24,1085,8555,0.5476,0.06,0.2701,0.0456,0.0243,0.0027,0.0328,0.0116,0.1146,22909,9165,8746,0.8561,0.4245,0.4732,0.8408,0.1986,8.5,16250,20375,11000,0,0,0,0,0,0,0,0,0,0
Arizona State University-Polytechnic,3,4,Public,Southwest,Large City,0.7479,24,1106,3305,0.6054,0.0375,0.1894,0.052,0.0194,0.0027,0.03,0.059,0.1573,21256,9407,8042,0.94,0.4074,0.5505,0.8378,0.33,8.5,16250,20375,11000,0.879999995,0.589999974,22.55999947,63334.02,43477,7.710000038,0,0,0,0
Arizona State University-Tempe,3,4,Public,Southwest,Mid-size City,0.8023,25,1145,38480,0.5755,0.0398,0.1853,0.0677,0.0136,0.0025,0.0376,0.0715,0.0943,21960,9080,10405,0.8787,0.3376,0.5947,0.844,0.1414,8.5,16250,20375,11000,0.879999995,0.589999974,22.55999947,63334.02,43477,7.710000038,1444,11691,46000,41200
Arizona State University-West,3,4,Public,Southwest,Large City,0.759,23,1073,3243,0.5492,0.0577,0.2683,0.0496,0.0176,0.0043,0.0324,0.0123,0.1693,20269,9017,8293,0.8992,0.4954,0.5519,0.8435,0.3223,8.5,16250,20375,11000,0.879999995,0.589999974,22.55999947,63334.02,43477,7.710000038,0,0,0,0
Arkansas State University-Main Campus,3,4,Public,Southeast,Small City,0.7551,24,1088,9325,0.7302,0.1466,0.0203,0.0075,0.0039,0.0006,0.0166,0.0604,0.1896,18809,5002,6957,0.743,0.4618,0.3698,0.7312,0.224,14.6,13300,20959,9750,0.850000024,0.779999971,23.97999954,38618.99,27550,13.39000034,704,4120,32300,29100
Arkansas Tech University,3,4,Public,Southeast,Remote Town,0.8503,22,1008,8734,0.7901,0.0781,0.0503,0.0129,0.0124,0.0005,0.0226,0.0332,0.1922,16126,4550,6096,1,0.4559,0.4025,0.6937,0.2436,17.4,10043,17528,7500,0.839999974,0.75999999,23.04999924,42912.59,31932,11.60999966,368,2284,33700,30600
Armstrong Atlantic State University,3,4,Public,Southeast,Mid-size City,0.6998,21,997,6206,0.5947,0.2425,0.0661,0.0353,0.0024,0.0013,0.0393,0.0169,0.2486,19802,5392,5620,0.9627,0.434,0.343,0.6736,0.2917,8.3,12750,20500,9500,0.860000014,0.639999986,24.45000076,48128.12,34921,10.31000042,252,1711,39200,36300
Art Center College of Design,3,4,Private,Far West,Mid-size City,0.8167,0,0,1742,0.2153,0.0115,0.1051,0.3456,0.0011,0.0034,0.0373,0.2428,0.1533,56400,17117,6826,1,0.3687,0.6436,0.8038,0.3039,7.2,31000,36187,14750,0.949999988,0.709999979,23.54000092,55123.2,28815,9.149999619,117,520,52800,48400
Asbury University,3,4,Private,Southeast,Fringe Town,0.6573,24,1110,1392,0.8348,0.033,0.0151,0.0057,0.0029,0.0014,0.0481,0.0158,0.0603,33966,8335,5924,0.5158,0.3896,0.6431,0.7981,0.1448,5,20325,26000,10548,0.949999988,0.449999988,21.25,75367.79,68034.5,6.909999847,48,390,33000,30200
Ashland University,3,4,Private,Great Lakes,Fringe Town,0.7438,23,1043,3118,0.7886,0.1334,0.0241,0.0045,0.0055,0.0013,0.0141,0.0263,0.2396,40835,7945,6922,0.458,0.2861,0.5634,0.737,0.237,4.7,21500,27000,14750,0.980000019,0.330000013,23.05999947,71763.3,63187.5,5.880000114,129,1486,37100,36300
Assumption College,3,4,Private,New England,Mid-size City,0.7422,0,0,2181,0.7066,0.0454,0.0715,0.0197,0.0018,0,0.0165,0.0105,0.0757,46763,7971,7852,0.5474,0.2297,0.7273,0.8336,0.0781,3.5,24931,27000,9500,0.99000001,0.219999999,19.63999939,113725.25,103026,4.75,35,799,50300,47900
Auburn University,3,4,Public,Southeast,Small City,0.8274,27,1215,19761,0.8543,0.0714,0.0253,0.0213,0.0077,0,0,0.0074,0.0902,23788,11324,9429,0.878,0.1687,0.6792,0.8946,0.0415,6.1,18250,22250,11000,0.959999979,0.460000008,20.32999992,88745.91,71775.5,9.590000153,345,3804,47100,41800
Auburn University at Montgomery,3,4,Public,Southeast,Mid-size City,0.8371,21,970,4322,0.5532,0.3031,0.0079,0.0245,0.0037,0,0,0.0435,0.3061,16556,6817,7173,0.9262,0.4006,0.2705,0.6321,0.2938,13.1,10750,21791,8250,0.910000026,0.670000017,23.43000031,40107.7,27378,13,179,1220,35300,32400
Augsburg College,3,4,Private,Great Plains,Large City,0.6086,23,1053,2661,0.6005,0.0928,0.0564,0.0718,0.0128,0.0023,0.0395,0.0173,0.2375,42531,9476,6868,0.9494,0.4338,0.6326,0.8158,0.3108,6,23000,27000,18481.5,0.959999979,0.449999988,24.37999916,74730.25,60818,5.050000191,67,886,45400,41300
Augustana College,3,4,Private,Great Plains,Mid-size City,0.6809,24,1105,1615,0.8712,0.0186,0.0198,0.0087,0.0012,0,0.0161,0.0644,0.0409,36828,10615,6488,0.6726,0.2281,0.6643,0.7995,0.0424,3.3,25249,27000,12009,0.99000001,0.400000006,20.07999992,87730.97,76993.5,5.679999828,32,630,41800,38200
Augustana College,3,3,Private,Great Lakes,Small City,0.5867,0,0,2504,0.7772,0.0403,0.0611,0.0176,0.0032,0.0008,0.0599,0.016,0.004,45364,9770,7186,0.6528,0.1929,0.784,0.8506,0.0115,5.5,25000,27000,8000,0.980000019,0.310000002,19.67000008,99764.5,88060,4.440000057,23,623,46900,42800
Aurora University,3,4,Private,Great Lakes,Large Suburb,0.7595,22,1011,3236,0.6143,0.0853,0.2052,0.0213,0.0034,0.0006,0.0315,0.0022,0.119,31145,4697,7064,0.2335,0.3911,0.576,0.7345,0.1876,6,15000,22500,8750,0.949999988,0.460000008,22.20000076,69996.76,61464,5.079999924,71,792,38100,36600
Austin College,3,4,Private,Southwest,Small City,0.5861,25,1181,1206,0.5779,0.0605,0.1567,0.1476,0.0149,0.0008,0.0091,0.0265,0.0017,45800,14009,7605,0.8741,0.2842,0.7177,0.8279,0.0124,2.6,23000,26000,8071,0.980000019,0.349999994,19.64999962,96751.26,83025,6.789999962,33,360,45500,41000
Austin Peay State University,3,4,Public,Southeast,Mid-size City,0.8595,22,1009,9271,0.6597,0.1913,0.0554,0.0146,0.004,0.0023,0.0455,0.0038,0.2606,18852,6847,6879,1,0.5384,0.3603,0.6618,0.3501,13.7,15000,25000,12101,0.879999995,0.699999988,24.46999931,41615.23,30942,8.930000305,375,2092,34000,31700
Avila University,3,4,Private,Great Plains,Large City,0.6108,22,1028,1336,0.6198,0.2006,0.0786,0.0135,0.012,0.0007,0.0292,0.0457,0.1969,34898,6943,6747,0.3391,0.4332,0.4912,0.7,0.3298,7.9,18750,26500,10729.5,0.970000029,0.469999999,23.76000023,67407.58,53028,5.940000057,55,499,42300,39500
Azusa Pacific University,3,4,Private,Far West,Large Suburb,0.7985,24,1098,6543,0.4966,0.0474,0.2306,0.0827,0.0035,0.0079,0.0573,0.0185,0.1314,44021,10343,9231,0.4597,0.2858,0.6486,0.8228,0.1467,4.1,19000,25000,18505.5,0.980000019,0.349999994,24.51000023,87044.35,72335.5,7.949999809,213,2087,49200,45800
Babson College,3,4,Private,New England,Large Suburb,0.2821,28,1258,2106,0.3898,0.0423,0.0997,0.1168,0.0019,0,0.0223,0.2635,0,58450,13960,14952,0.722,0.1613,0.9073,0.9489,0.009,1,27000,27000,19500,0.99000001,0.319999993,20.28000069,104940.77,80987,6.510000229,50,381,83200,74700
Baker University,3,4,Private,Great Plains,Fringe Town,0.869,24,1086,1759,0.7186,0.1086,0.0478,0.0125,0.0205,0.0051,0.0125,0.0028,0.394,37485,4981,5758,0.1624,0.3967,0.52,0.7574,0.4418,6.1,21353,25291,11000,0.980000019,0.400000006,26.76000023,71428.09,60418,5.420000076,61,927,50600,45500
Baldwin Wallace University,3,4,Private,Great Lakes,Large Suburb,0.6396,24,1096,3331,0.807,0.0883,0.0465,0.0087,0.0009,0.0009,0.0363,0.0075,0.1078,37504,10201,7418,0.4129,0.333,0.7088,0.7921,0.1393,3.1,24000,27000,14000,0.970000029,0.430000007,21.38999939,79087.32,74030,5.179999828,69,1097,43700,39900
Ball State University,3,4,Public,Great Lakes,Small City,0.6054,22,1053,15985,0.8317,0.0673,0.0348,0.0082,0.0009,0.0009,0.0195,0.0218,0.0616,21101,9700,7305,0.8249,0.3463,0.5938,0.7838,0.0715,8.1,18686,25000,9500,0.949999988,0.449999988,20.55999947,78230.63,73544,5.760000229,388,5112,37800,35800
Baptist Memorial College of Health Sciences,3,3,Private,Southeast,Large City,0.463,25,1125,1101,0.5767,0.3769,0.0054,0.02,0.0009,0,0.0109,0.0009,0.5622,19745,9801,6442,0.9873,0.4765,0.3878,0.7424,0.5059,5.9,21000,31424.5,15750,0.949999988,0.550000012,25.35000038,54231.6,41376,9.960000038,34,373,50700,50100
Bard College,3,4,Private,Mid-Atlantic,Fringe Town,0.3761,0,0,1957,0.6173,0.0603,0.022,0.0419,0.0077,0,0,0.1109,0.0312,60280,23839,10804,0.5797,0.1904,0.7388,0.875,0.0129,3.4,20476,24000,9750,0.980000019,0.319999993,19.72999954,104078.1,86752.5,6.599999905,56,289,34000,29400
Barnard College,3,3,Private,Mid-Atlantic,Large City,0.2053,30,1340,2486,0.5688,0.0535,0.1114,0.1456,0.0008,0,0.0503,0.0696,0.0105,59581,21351,11888,0.6053,0.1841,0.8966,0.9764,0.0048,2.4,16000,17493,9750,0.939999998,0.439999998,19.23999977,105139.12,77701,8.739999771,29,305,55100,46900
Barry University,3,4,Private,Southeast,Large Suburb,0.4678,19,930,4284,0.2017,0.32,0.2937,0.0135,0.0028,0.0012,0.0128,0.0721,0.1615,41019,10646,7696,0.4266,0.5181,0.3729,0.5997,0.4361,5.7,21500,29884,14506.5,0.949999988,0.600000024,27.72999954,53233.76,37767.5,11.28999996,277,2063,46200,42200
Barton College,3,4,Private,Southeast,Fringe Town,0.4177,20,939,1043,0.5877,0.2464,0.0403,0.0077,0.0058,0.0029,0.0288,0.023,0.1381,37437,6597,5838,0.6696,0.4955,0.4839,0.6866,0.2271,9.2,21500,27500,11000,0.959999979,0.560000002,24.12999916,59406.39,43763.5,10.57999992,45,506,35500,33800
Bates College,3,3,Private,New England,Small City,0.2417,0,0,1791,0.7219,0.0514,0.0625,0.0469,0.0034,0.0006,0.0396,0.0648,0,59285,21446,10374,0.8474,0.1112,0.9299,0.9163,0.0034,1.4,16425,17058,6700,0.959999979,0.270000011,19.54999924,118325.02,106531,5.800000191,16,216,57900,47600
Bay Path College,3,4,Private,New England,Large Suburb,0.576,20,964,1454,0.586,0.1183,0.1534,0.0144,0.0007,0.0007,0.0234,0.0041,0.1891,40447,6148,7754,0.2182,0.5289,0.555,0.7226,0.5329,7.5,18065,21538.5,13374.5,0.970000029,0.540000021,27.28000069,57186.55,45278,7.980000019,64,590,39800,37500
Bayamon Central University,3,4,Private,Outlying Areas,Large Suburb,0.7368,0,0,1654,0,0.006,0.994,0,0,0,0,0,0.2213,11573,2704,2630,1,0.7144,0.2752,0.7017,0.2849,16.4,5500,7500,5325,0.300000012,0.980000019,23.46999931,16277.49,12591,40.34000015,466,912,18600,17400
Baylor University,3,4,Private,Southwest,Mid-size City,0.5747,27,1215,13221,0.6408,0.0741,0.1386,0.0646,0.0033,0.0003,0.0473,0.0289,0.0142,51086,14046,8793,0.8148,0.22,0.7472,0.8825,0.0245,4.8,21000,25281,9500,0.949999988,0.439999998,19.79999924,93014.48,72163,7.460000038,200,2541,47700,43700
Becker College,3,3,Private,New England,Mid-size City,0.6255,22,1006,1871,0.667,0.0775,0.0951,0.0139,0.0021,0.0011,0.031,0.0064,0.2255,44041,5832,7308,0.2651,0.3888,0.3069,0.6407,0.2645,14.9,15750,27166,14750,0.980000019,0.469999999,24.10000038,65321.14,54112,7.159999847,46,573,40800,36300
Belhaven University,3,4,Private,Southeast,Mid-size City,0.4842,22,1033,2487,0.3848,0.4451,0.0555,0.0133,0.0044,0.0024,0.0213,0,0.501,33375,4341,4327,1,0.5109,0.3983,0.6,0.5435,5.6,19500,31250,12500,0.949999988,0.589999974,29.38999939,50301.32,36084,11.52000046,93,905,36900,33100
Bellarmine University,3,4,Private,Southeast,Large City,0.9478,25,1116,2508,0.8405,0.0395,0.0343,0.0207,0.0024,0.0012,0.0243,0.0128,0.0614,47609,8456,7580,0.4605,0.2264,0.6649,0.797,0.0941,5.3,19500,25000,9461,0.949999988,0.349999994,22.22999954,79655.05,68519,6.369999886,44,606,45800,42700
Belmont Abbey College,3,3,Private,Southeast,Mid-size Suburb,0.6759,21,977,1634,0.3703,0.2723,0.0184,0.0073,0.0012,0.0006,0.0043,0.0214,0.0563,39328,5227,4524,0.5909,0.4613,0.381,0.65,0.4347,14,18500,27000,11000,0.959999979,0.50999999,25.79000092,71640.74,55427,7.170000076,32,355,36300,33300
Belmont University,3,4,Private,Southeast,Large City,0.7987,27,1193,5465,0.8201,0.0401,0.0428,0.0161,0.0024,0.0004,0.0326,0.0082,0.0655,41450,8976,8450,0.478,0.1756,0.6796,0.8333,0.0848,1.9,19173,23250,8750.5,0.959999979,0.340000004,21.15999985,98697.97,83588,6.179999828,84,1048,42100,37600
Beloit College,3,3,Private,Great Lakes,Small City,0.6769,27,1227,1244,0.7122,0.0466,0.0828,0.0193,0.0048,0.0024,0.0273,0.0844,0.0056,48236,13624,7161,0.8175,0.1795,0.7815,0.9228,0.0107,1,23231.5,26500,12000,0.99000001,0.310000002,19.71999931,99694.61,90105,5.5,37,278,38800,33300
Bemidji State University,3,4,Public,Great Plains,Remote Town,0.6678,21,990,4397,0.861,0.0189,0.0155,0.0091,0.0264,0.0002,0.0257,0.0202,0.2063,18166,5452,7669,0.6101,0.3557,0.4758,0.672,0.2536,8.5,13500,21500,9500,0.920000017,0.540000021,23.07999992,63423.26,53717,7.739999771,131,1428,37600,35100
Benedictine College,3,4,Private,Great Plains,Distant Town,0.6057,25,1145,1750,0.8023,0.0343,0.06,0.0109,0.004,0.0029,0.0309,0.0297,0.0126,36805,5931,6165,0.6335,0.21,0.5922,0.7676,0.0208,5.5,19500,26250,9500,0.980000019,0.449999988,20.07999992,89380.43,79145.5,6.650000095,48,465,36600,35000
Benedictine University,3,4,Private,Great Lakes,Large Suburb,0.695,22,1030,3739,0.4491,0.0968,0.0861,0.1417,0.0024,0.0029,0,0.0187,0.1878,35481,5558,7686,0.2385,0.3644,0.5247,0.7322,0.2709,4.5,17188,21500,16000,0.930000007,0.519999981,24.95000076,65286.83,53068,4.840000153,80,693,46900,43400
Bentley University,3,4,Private,New England,Small City,0.4379,28,1234,4172,0.6146,0.0295,0.0686,0.0803,0.001,0,0.0177,0.1453,0.0218,54806,13149,12158,0.6265,0.1554,0.8727,0.9355,0.0231,1,26000,27000,17375,0.99000001,0.319999993,19.65999985,105823.11,93494,5.03000021,66,1199,71600,69000
